Scientific,Family1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Hand.Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Toe,Gape_size_mcf,NicheBreadth,NichePosition,IUCN,RangeSize_Cells,RangeSize_Meters,MidPoint_Long,MidPoint_Lat,Realm,degree,betweenness,closeness,katzz,PC1,PC2,Nwebs,PC1_nobet,PC2_nobet,ED,DR
Amblyornis macgregoriae,Ptilonorhynchidae,26.7,13.3,7.6,8.8,37.3,131.6,26.9,20.5,88.4,117.5,Forest,Herbivore,Frugivore,Insessorial,25.3,16.6,4.527900176,-2.318121664,LC,37,4.53E+11,143.0006645,-5.918798193,Oceanina,5,0.000719201,0.000752196,1.947451741,-0.581929527,-0.174910528,1,-0.649817155,0.045864667,14.66747151,0.07316781
Amblyospiza albifrons,Ploceidae,19.8,13.2,9.2,14.9,22.4,90.9,15,16.8,65.8,41.6,Woodland,Omnivore,Omnivore,Insessorial,20.9,NA,0.377900797,-1.054917875,LC,515,6.21E+12,32.91875888,-3.704865055,Afrotropical,5,0.000261993,0.000785,2.428576784,-0.541809416,0.13812142,7,-0.502042417,0.263535496,12.47325259,0.099192699
Ampeliceps coronatus,Sturnidae,22.8,11.2,6,6.6,24,124.5,37,30,65.8,87.9,Forest,Herbivore,Frugivore,Insessorial,NA,13.9,3.643031679,-1.441666533,LC,174,2.05E+12,100.9903434,17.07082856,Oriental,2,0,0.000656757,1.692398658,-1.146863177,-0.604410152,2,-1.158390086,-0.552382791,7.059563379,0.146504526
Ampelioides tschudii,Cotingidae,22.6,10.8,7.1,6.2,20.8,100.5,23.9,23.9,65.5,78.4,Forest,Omnivore,Frugivore,Insessorial,NA,16.3,5.923257492,-1.565899127,LC,64,7.79E+11,-75.4821347,-5.764482962,Neotropical,9,8.11E-05,0.00085159,46.31495437,-0.077277594,0.579632123,1,0.0759793,0.513235378,23.93571422,0.043308378
Ampelion rubrocristatus,Cotingidae,20.5,9.2,5.6,6.8,24.9,113.3,27.8,24.5,86.2,66.3,Forest,Herbivore,Frugivore,Insessorial,NA,12,2.305271898,-1.140467327,LC,96,1.17E+12,-74.29750495,-4.105823645,Neotropical,1,0,0.000654494,2.27030716,-1.178392561,-0.612494741,1,-1.193902391,-0.556469111,10.24977335,0.106826374
Anairetes parulus,Tyrannidae,11.7,5.8,2.4,2.1,18.5,49.1,7,14.3,51,6.2,Shrubland,Carnivore,Invertivore,Insessorial,10.7,NA,0.632657959,-0.157174629,LC,370,3.67E+12,-69.66827983,-37.08155658,Neotropical,10,0.000306466,0.000739464,4.223265848,-0.57256411,-0.195338226,3,-0.559081925,-0.111338788,3.378784682,0.312263137
Andigena hypoglauca,Ramphastidae,91.2,80.7,25.9,29,41,171,18.1,10.7,170,312.8,Forest,Herbivore,Frugivore,Insessorial,NA,33.8,0.822358188,-0.995322853,NT,36,4.39E+11,-76.56795441,-5.332340717,Neotropical,6,2.81E-05,0.000719187,7.071280698,-0.790018809,-0.236751131,5,-0.748961526,-0.204456723,4.611451524,0.240894491
Andropadus ansorgei,Pycnonotidae,13.9,7.9,3.5,3.8,15.9,71.8,11.3,15.7,64.5,18.7,Forest,Herbivore,Frugivore,Insessorial,NA,NA,0.751327302,-1.523505839,LC,234,2.87E+12,17.22152365,0.296731679,Afrotropical,4,3.82E-05,0.000719256,2.522145172,-0.853396072,-0.225802793,5,-0.821785965,-0.163247712,8.582022236,0.118516057
Andropadus curvirostris,Pycnonotidae,16.2,9.3,4.3,4,18.3,76.2,10,13.1,70.5,24.9,Forest,Herbivore,Omnivore,Insessorial,NA,10,0.740286014,-1.498721649,LC,370,4.54E+12,15.3864252,1.138454103,Afrotropical,14,0.000533469,0.000819267,5.354720325,-0.128603495,0.238656785,5,-0.088937557,0.366604976,13.03304183,0.077883982
Andropadus gracilirostris,Pycnonotidae,19.4,11.1,4.2,4.3,20,80.9,14.7,17.5,74,31.2,Forest,Herbivore,Frugivore,Insessorial,NA,10,0.928597082,-1.490204516,LC,395,4.84E+12,14.61510453,1.028791947,Afrotropical,10,0.00016812,0.000765661,4.506332382,-0.499149396,0.00352234,5,-0.441462391,0.062825602,15.00221271,0.067590362
Andropadus gracilis,Pycnonotidae,13.9,8.3,3.8,3.8,17.6,72,8.5,12,68,21.6,Forest,Herbivore,Omnivore,Insessorial,NA,NA,0.725487256,-1.511156152,NA,355,4.36E+12,18.88734881,-0.194523165,Afrotropical,5,6.40E-05,0.000732971,2.731315596,-0.771646954,-0.15023657,4,-0.732268172,-0.085192505,8.582022236,0.118516057
Andropadus importunus,Pycnonotidae,18.9,9.3,4.2,5.5,22.4,88.9,10.6,11.9,86.1,27.4,Shrubland,Herbivore,Frugivore,Insessorial,14.4,10.3,0.796969516,-0.7918226,LC,206,2.39E+12,33.8400733,-17.66198287,Afrotropical,28,0.002080252,0.000902841,9.381881622,0.832365689,0.335272074,11,0.686261694,0.730972739,21.61154491,0.04682979
Andropadus latirostris,Pycnonotidae,15.3,8.9,4.9,4.5,19.7,79.3,10.6,13.8,74.1,26.2,Forest,Omnivore,Frugivore,Insessorial,NA,12,0.74956222,-1.456787708,NA,395,4.85E+12,20.54424745,0.456752498,Afrotropical,25,0.000995031,0.000838469,7.305744185,0.310026712,0.187120147,5,0.308763209,0.346319506,14.55534166,0.069735869
Andropadus masukuensis,Pycnonotidae,15.1,7.6,3.8,3.7,20.8,79.8,14.1,17.7,78.7,26.8,Forest,Omnivore,Invertivore,Insessorial,NA,10.1,0.125131219,-1.041997879,LC,41,5.03E+11,29.21383686,-1.506379862,Afrotropical,13,0.002434192,0.000919506,8.090975528,0.57990427,0.458106426,5,0.339860369,1.040539477,9.862967794,0.103779479
