Scientific,PC1,PC2,PC3,deg.degree_z,bet.betweenness_z,clos.closeness_z,katzz.Katz_z,Family1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Hand.Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Toe,Gape_size_mcf,NicheBreadth,NichePosition,IUCN,RangeSize_Cells,RangeSize_Meters,MidPoint_Long,MidPoint_Lat,Realm,Nwebs,ED,DR,database,lat,lon
Crax fasciolata,-0.21948521,1.397097446,-0.759720102,1.066419986,-0.731732428,-1.142425469,-0.36720856,Cracidae,48.2,21.6,11.9,21.6,100.5,354.9,32.5,8.9,346.2,2600,Forest,Herbivore,Frugivore,Terrestrial,NA,23.3,0.748792371,-1.330461184,VU,370,4.38E+12,-53.32148356,-14.96009293,Neotropical,1,2.404487973,0.437284102,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Cyanocorax chrysops,-0.408368144,-0.518726886,0.086847311,-0.559220236,-0.526847348,0.190404245,-0.307251574,Corvidae,36,22.6,10.9,12.7,47.5,155.1,15.6,10.1,163.5,166,Forest,Carnivore,Invertivore,Insessorial,NA,NA,0.649888635,-1.03142264,LC,310,3.54E+12,-57.69096786,-22.68109322,Neotropical,8,2.63498684,0.3966175,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Cyanocorax cyanomelas,2.375126494,0.354774927,0.28225864,1.39154803,0.597929927,0.952021224,1.733208217,Corvidae,38.2,22.6,12.1,14.2,47.5,187.6,28.2,15,162.6,207,Woodland,Omnivore,Omnivore,Insessorial,24.9,NA,0.903299741,-1.083632038,LC,179,2.08E+12,-60.00831857,-19.53853607,Neotropical,2,2.931693923,0.373057521,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Gnorimopsar chopi,-1.687400746,0.461691498,0.215684364,-0.884348281,-0.731732428,-1.332829714,-0.740603223,Icteridae,25.1,16.5,6.4,9.1,32.8,124.2,25.6,21.1,87.9,65.9,Grassland,Omnivore,Omnivore,Terrestrial,22.4,NA,0.613138582,-1.077474074,LC,592,6.87E+12,-51.4356249,-18.64715649,Neotropical,4,6.136316396,0.169819914,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Guira guira,-1.494574547,0.828336117,0.176837908,-0.559220236,-0.731732428,-1.523233958,-0.564089073,Cuculidae,30.7,18.9,7.5,11.5,36.4,173.6,43.2,24.9,213.8,141,Human Modified,Carnivore,Invertivore,Terrestrial,NA,NA,1.358957701,-0.935115094,LC,799,9.08E+12,-54.13271925,-21.58904978,Neotropical,2,47.56654312,0.021150469,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Icterus croconotus,-0.778947327,-0.271833618,-0.055864059,-0.559220236,-0.731732428,-0.190404245,-0.578612304,Icteridae,25.7,15.5,5.3,7.2,25.6,97,16.1,16.9,93.9,44.5,Woodland,Omnivore,Omnivore,Insessorial,NA,NA,2.394919252,-1.605737098,LC,355,4.26E+12,-64.56769196,-11.42354193,Neotropical,1,3.454356754,0.392483095,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Myiarchus ferox,-0.936424347,-0.137095322,-0.092193705,-0.559220236,-0.292692971,-0.38080849,-0.668163892,Tyrannidae,21.7,14.4,7.7,5.8,21.8,85.8,12.2,14.2,86.9,27.5,Forest,Omnivore,Invertivore,Insessorial,11.6,10.3,1.964708341,-1.561983123,LC,1071,1.29E+13,-57.07586343,-8.811168682,Neotropical,13,3.61782559,0.336639791,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Myiodynastes maculatus,-1.526188214,0.129797195,0.094727763,-0.884348281,-0.731732428,-0.952021224,-0.816489335,Tyrannidae,25.6,18.4,10.5,8.4,19.5,107.9,21.8,20.3,79,43.2,Forest,Carnivore,Invertivore,Insessorial,14.3,NA,2.64337431,-1.447844913,LC,1407,1.67E+13,-60.40532935,-9.459310712,Neotropical,34,5.006093423,0.226547095,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Ortalis canicollis,4.075784171,0.410609241,-0.160652818,2.692060207,3.359000291,1.904042448,2.435951577,Cracidae,25.1,14,8.7,9.9,59.9,235.7,46.1,20.8,248.3,539,Woodland,Herbivore,Omnivore,Insessorial,NA,NA,0.278047133,-0.771026701,LC,131,1.48E+12,-60.49255155,-23.58912729,Neotropical,1,4.164452982,0.271594772,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Paroaria coronata,-1.039942151,-0.467481512,0.059124164,-0.884348281,-0.731732428,-0.190404245,-0.696554844,Thraupidae,16.8,10.5,6.2,8.5,25.3,98.6,17.3,17.6,85.8,37.8,Shrubland,Herbivore,Omnivore,Terrestrial,17.8,NA,0.568369061,-0.678557494,LC,286,3.11E+12,-60.33749841,-28.2833296,Neotropical,3,3.848331179,0.270734129,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Pipile pipile,2.329911367,-0.349286069,0.183019361,1.066419986,1.544303868,1.523233958,1.458249137,Cracidae,37.6,18.2,9.8,11.1,64,331,63.1,18.7,280,1816.6,Forest,Herbivore,Frugivore,Insessorial,NA,20,0.027216066,-1.737439293,CR,4,48478971850,-61,10.1896785,Neotropical,2,1.158077633,0.905046414,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Pitangus sulphuratus,1.58317178,-0.742142101,-0.313719904,0.741291941,1.637686864,1.523233958,0.534670486,Tyrannidae,29.3,21.1,10.1,9.1,25.8,111.9,20.6,18.1,84.8,62.9,Human Modified,Carnivore,Omnivore,Insessorial,13,NA,2.927218273,-1.297309143,LC,1586,1.86E+13,-58.61943603,-13.74168914,Neotropical,42,11.13291682,0.092928216,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Psarocolius decumanus,1.337013033,0.151282555,0.186230641,0.741291941,0.013937761,0.571212734,0.984568121,Icteridae,51.8,34.1,11.2,17.8,46.5,198.6,49.1,24.8,170.3,206.3,Forest,Omnivore,Omnivore,Insessorial,37.6,NA,2.118858292,-1.634983415,LC,1012,1.22E+13,-59.81854009,-7.550688272,Neotropical,5,5.068695355,0.216005551,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Pteroglossus castanotis,0.813155575,0.047587316,0.132170796,0.416163897,0.227185497,0.38080849,0.602285784,Ramphastidae,115.9,104.9,26.9,33.7,35,154.4,25.3,16.4,144.4,258.1,Forest,Herbivore,Frugivore,Insessorial,NA,30.5,1.825584692,-1.618477466,LC,489,5.87E+12,-62.1140631,-11.17782817,Neotropical,3,3.442658387,0.318395785,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Ramphastos toco,2.383083754,0.845036962,0.172586253,1.716676074,0.60768636,0.571212734,1.774739679,Ramphastidae,181.1,196.5,40.7,55.9,51.8,242.2,54.1,22.4,159.9,618,Grassland,Herbivore,Frugivore,Insessorial,NA,40.3,0.795455656,-1.2529582,LC,456,5.35E+12,-53.76581317,-18.46140734,Neotropical,9,14.38979614,0.072281431,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Ramphocelus carbo,1.566395017,-0.152935544,0.151123915,0.741291941,0.597929927,0.952021224,1.021745033,Thraupidae,18.3,11.8,7.4,7.9,21.6,78.1,12.4,15.8,79.9,25.9,Human Modified,Omnivore,Omnivore,Insessorial,11.8,9.6,1.86514782,-1.634263073,LC,948,1.15E+13,-58.45708677,-7.118354468,Neotropical,22,1.433081146,0.73810248,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Saltator coerulescens,-0.18918346,-0.538726135,-0.242785527,-0.234092192,0.087807891,0.38080849,-0.430286861,Thraupidae,22.3,13.9,8.8,11,26.8,100.7,14.6,14.5,95.5,54.9,Human Modified,Herbivore,Omnivore,Insessorial,13.8,NA,2.207912397,-1.557211935,LC,1105,1.32E+13,-61.03751634,-7.691275713,Neotropical,5,5.928822737,0.188341356,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Tachyphonus rufus,-1.578580259,0.307199074,0.190737923,-0.884348281,-0.731732428,-1.142425469,-0.731751343,Thraupidae,18.7,13.4,6.1,7.6,22.1,83,13.4,16.2,77.2,34.4,Shrubland,Omnivore,Invertivore,Insessorial,16.8,NA,1.540597667,-1.406055345,LC,607,7.28E+12,-53.17815524,-8.965281048,Neotropical,10,5.18838644,0.202874472,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Thraupis palmarum,-0.216189156,-0.549690212,-0.276795418,-0.234092192,0.087807891,0.38080849,-0.475077388,Thraupidae,15,9.4,5.9,6.5,20.7,92.5,20.4,21.9,70.4,39,Forest,Omnivore,Omnivore,Insessorial,NA,9.3,2.201483631,-1.60704382,LC,1136,1.37E+13,-58.48291194,-7.036679257,Neotropical,37,2.655026185,0.402724932,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Thraupis sayaca,-0.805953023,-0.282797695,-0.08987395,-0.559220236,-0.731732428,-0.190404245,-0.623402831,Thraupidae,15.5,9.2,6.5,7.2,19.6,90.3,21.1,23.5,66,32.5,Forest,Herbivore,Omnivore,Insessorial,NA,9.3,0.727741794,-1.038092732,LC,655,7.58E+12,-52.46411609,-19.08960575,Neotropical,49,2.978861528,0.353410243,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Tityra cayana,-1.526188214,0.129797195,0.094727763,-0.884348281,-0.731732428,-0.952021224,-0.816489335,Tityridae,28.4,19.9,11.5,10.7,25,117.2,30.6,26.1,72.2,68.1,Forest,Herbivore,Frugivore,Insessorial,15,17.3,1.880548233,-1.565508809,LC,1085,1.30E+13,-57.01816299,-8.559474436,Neotropical,14,11.1835004,0.092488726,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Trogon curucui,-0.015906451,-1.15408123,-0.066864566,-0.559220236,0.400013728,0.952021224,-0.342863948,Trogonidae,19.7,12.2,8.8,9.4,12.4,122.5,44.3,36.1,129,54,Forest,Carnivore,Invertivore,Insessorial,NA,NA,1.560469472,-1.497096062,LC,695,8.38E+12,-57.61666356,-10.24433222,Neotropical,5,6.883658393,0.150545415,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Turdus rufiventris,-0.936424347,-0.137095322,-0.092193705,-0.559220236,-0.292692971,-0.38080849,-0.668163892,Turdidae,25.2,14.6,5.3,6.7,33.4,115.5,20.1,17.4,101.5,69.4,Forest,Omnivore,Invertivore,Generalist,NA,12,0.536568021,-0.951229519,LC,516,5.92E+12,-51.13867539,-20.62934148,Neotropical,42,4.54422675,0.229919834,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Tyrannus melancholicus,-1.039942151,-0.467481512,0.059124164,-0.884348281,-0.731732428,-0.190404245,-0.696554844,Tyrannidae,23.5,17.4,9.7,7.4,18.7,108.8,25.5,23.7,91.9,37.4,Human Modified,Carnivore,Invertivore,Insessorial,14.1,NA,3.007612386,-1.311171364,LC,1638,1.92E+13,-63.63952231,-8.804772123,Neotropical,35,2.314740215,0.478147108,Messeder_et_al._2020_-_Interaction_dataset_NW 028 NF,-5.433333,-67.283333
Anthus spragueii,-2.530204479,-0.588163952,0.309073435,-0.91979984,-0.628577736,-1.980262863,-1.440807126,Motacillidae,14.2,8.9,3.5,3.8,22.2,78.1,20.8,26.4,65.2,25.5,Grassland,Carnivore,Invertivore,Terrestrial,18.1,NA,0.918957121,0.115152377,VU,566,5.50E+12,-102.1369649,28.83044033,Nearctic,2,7.401128105,0.162297873,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Bombycilla cedrorum,-0.102502956,0.554959101,-0.285379639,-0.424523003,-0.394058918,0.422807074,-0.202342275,Bombycillidae,15.1,6.6,4.5,4.9,16.7,95.4,33.5,35.1,59.8,31.6,Woodland,Herbivore,Frugivore,Insessorial,16.1,10.7,1.703209505,0.15981385,LC,1854,1.72E+13,-99.3953284,43.32779973,Nearctic,7,22.32978806,0.045332179,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Cardinalis cardinalis,-1.984025004,-0.731405925,-0.041774566,-0.424523003,-0.628577736,-1.540264142,-1.385792752,Cardinalidae,17.6,14.7,9.3,12.3,24.5,93.5,14.2,15.5,101.8,42.6,Shrubland,Herbivore,Omnivore,Insessorial,16.6,NA,0.432733707,-0.157813565,LC,754,7.67E+12,-92.58530366,34.99332668,Nearctic,8,7.245926067,0.141341031,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Cyanocorax morio,3.613314867,-2.057379519,0.007374704,3.537691693,1.283533691,0.919215887,1.982092036,Corvidae,45.1,28.9,13.2,15.8,49.6,201.3,29.5,14.3,202.8,204,Forest,Omnivore,Omnivore,Insessorial,NA,NA,2.05221546,-1.352036881,LC,105,1.23E+12,-91.16151253,18.1207375,Panamanian,8,4.940253183,0.214925175,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Dives dives,0.063848183,0.534177369,0.090857493,-0.424523003,-0.628577736,0.287422852,0.186669387,Icteridae,29.8,18.2,7,10,36.4,120.2,16.8,13.6,121.9,91.3,Forest,Omnivore,Omnivore,Generalist,26.2,NA,0.959186921,-1.386346822,LC,84,9.87E+11,-90.82792063,17.27335513,Panamanian,6,4.867415824,0.227596192,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Dumetella carolinensis,1.026568124,-0.458300092,-0.576385124,1.061307508,1.441325336,0.67101148,0.139538047,Mimidae,19.2,11.1,4,4.8,27.4,90.7,16.8,18.6,90.3,35.3,Shrubland,Omnivore,Invertivore,Insessorial,19,NA,0.868126499,0.057067258,LC,1155,1.11E+13,-94.32679748,41.01409665,Nearctic,13,11.31035203,0.090946069,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Empidonax traillii,-0.603952202,-1.431650062,-0.783445846,1.061307508,2.453090674,-0.705394775,-1.184994574,Tyrannidae,13.1,8.5,5.9,4.3,18.4,66.5,16.2,23.5,59.1,13.4,Shrubland,Carnivore,Invertivore,Insessorial,9.6,NA,0.563032408,-0.099699846,LC,1352,1.33E+13,-100.4041615,37.57698951,Nearctic,3,3.906410505,0.266204643,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Icteria virens,-1.037700399,-0.61092299,-0.415309529,0.070753834,-0.294036521,-0.705394775,-1.058273655,Icteridae,16.3,10.5,4.8,6.3,26.1,76.5,16.3,21.3,71.8,24.9,Forest,Carnivore,Invertivore,Insessorial,16,NA,0.718934431,-0.065359666,LC,1099,1.10E+13,-100.9140149,36.31403046,Nearctic,6,17.28108455,0.06004672,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Icterus cucullatus,0.500861939,0.791624188,0.156501429,-0.424523003,-0.380960976,0.648447443,0.54892656,Icteridae,21.2,13.9,4.3,5.2,21.6,83.4,16.4,20,91.4,24.3,Woodland,Omnivore,Omnivore,Insessorial,17.3,NA,0.509529139,-0.44043998,LC,312,3.41E+12,-106.5034108,27.75569059,Nearctic,3,5.13921747,0.208024847,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Icterus galbula,1.374263312,0.189652406,-0.026579995,0.566030671,1.283533691,0.919215887,0.871737124,Icteridae,21.1,13.3,5,6.4,23.4,92.1,25.5,27.4,73.3,32.8,Forest,Omnivore,Invertivore,Insessorial,15.7,NA,0.666756751,-0.104523998,LC,1585,1.57E+13,-97.15815263,37.91670647,Nearctic,10,1.770534569,0.601283527,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Icterus gularis,1.491102047,0.12803887,0.376711463,0.566030671,0.219891788,0.716139554,1.244364983,Icteridae,25.8,18.4,7.5,10,30.8,116.4,22.4,19.1,102.1,55.2,Woodland,Omnivore,Omnivore,Insessorial,22.1,NA,0.76744411,-1.185286303,LC,98,1.14E+12,-93.21550728,18.76845798,Panamanian,6,2.350853516,0.452665092,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Icterus spurius,-0.495470801,0.86597807,-0.140753506,-0.91979984,-0.628577736,0.287422852,-0.294240105,Icteridae,17.2,11.6,4.4,5.3,21.5,77,20.9,26.9,67,19.4,Forest,Carnivore,Invertivore,Insessorial,15,NA,1.693073335,-0.378037736,LC,808,8.40E+12,-91.15023331,32.66342201,Nearctic,6,4.34433424,0.245463564,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Leiothlypis celata,-3.742898947,-1.77512171,1.524324354,-0.91979984,-0.628577736,-4.067436283,-1.44701233,Parulidae,11.8,7.8,3.8,4,18.4,59.9,13.8,23,46.5,9.2,Shrubland,Carnivore,Invertivore,Insessorial,NA,NA,2.944282881,0.531584498,LC,2197,1.82E+13,-111.5385077,51.26259085,Nearctic,2,NA,NA,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Megarynchus pitangua,1.486695419,0.097555119,0.458517756,0.566030671,-0.380960976,0.648447443,1.299670726,Tyrannidae,33.7,24.7,13.9,10.4,19.2,113.5,26.6,23.3,85.8,69.9,Woodland,Carnivore,Invertivore,Insessorial,16.4,NA,1.761544433,-1.551677778,LC,1276,1.53E+13,-61.49666708,-5.4488031,Neotropical,26,7.936976722,0.132998078,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Melanerpes aurifrons,1.060180923,0.459823487,0.388112428,0.070753834,-0.380960976,0.648447443,1.029836052,Picidae,34.7,24.7,7.8,7.2,22.8,129.1,31.2,24.2,78.1,80.8,Shrubland,Omnivore,Omnivore,Insessorial,NA,NA,0.728022004,-0.740916267,LC,182,2.06E+12,-96.73424384,23.41787333,Nearctic,7,3.189396115,0.357853411,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Mimus polyglottos,-0.902802061,-1.118687313,-0.466470388,0.566030671,-0.586312433,-0.88590707,-1.085764906,Mimidae,22.1,12.2,4.6,5.3,32.2,112.3,23.1,20.6,117.6,48.5,Shrubland,Omnivore,Omnivore,Generalist,20.7,8.8,0.803017677,0.036444077,LC,1306,1.28E+13,-98.48930317,39.11252214,Nearctic,8,2.711875022,0.379925861,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Momotus momota,-0.495470801,0.86597807,-0.140753506,-0.91979984,-0.628577736,0.287422852,-0.294240105,Momotidae,42.5,29.4,9.7,12.6,28.4,142.3,26.4,18.6,253.9,115,Forest,Carnivore,Omnivore,Insessorial,NA,NA,2.097284507,-1.673228585,LC,984,1.19E+13,-62.36998816,-4.944837,Neotropical,10,9.856882003,0.113434974,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Myiarchus cinerascens,-1.958716899,-0.078820536,-0.115715446,-0.91979984,-0.628577736,-1.11154744,-1.332143076,Tyrannidae,23,14.3,6.8,6.2,22.4,96,19.8,20.4,89.7,28.2,Shrubland,Carnivore,Invertivore,Insessorial,12.9,NA,0.762180362,-0.120813447,LC,510,5.32E+12,-108.4589117,32.46249039,Nearctic,3,1.902680914,0.672523697,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Myiarchus crinitus,0.108235135,-0.415173028,-0.633700658,0.566030671,2.098443946,0.197166704,-0.475809397,Tyrannidae,22.7,15.5,8.5,6.9,21.8,98.8,21.6,21.4,88.1,32.1,Woodland,Omnivore,Invertivore,Insessorial,12.9,NA,1.703005797,-0.175917019,LC,899,8.89E+12,-87.99564523,37.86380182,Nearctic,9,1.961726264,0.61565073,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Myiarchus tuberculifer,-1.899615851,-0.05543746,-0.073026989,-0.91979984,-0.628577736,-1.088983403,-1.258979759,Tyrannidae,21.1,12.9,7.1,5.2,20.1,80.4,15.5,18.8,76.5,17.7,Forest,Carnivore,Invertivore,Insessorial,10.4,NA,3.0884173,-1.587404035,LC,1058,1.27E+13,-70.98995245,1.531477323,Neotropical,7,2.872859965,0.461699083,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Myiarchus tyrannulus,-0.916485547,0.602377439,-0.157925159,-0.91979984,-0.628577736,-0.096165777,-0.61029918,Tyrannidae,23.2,15.1,8.2,6.5,21.9,92,15.4,16.6,85.7,35.5,Woodland,Carnivore,Invertivore,Insessorial,15.8,NA,1.476109794,-1.204415163,LC,1112,1.31E+13,-52.61362606,-14.89435,Neotropical,9,2.502267359,0.509297336,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Myiozetetes similis,2.119652442,-0.647997176,0.24503718,1.556584345,0.219891788,0.716139554,1.427255882,Tyrannidae,17.4,9.7,5.5,4.9,19.6,87,14.5,16.4,69.1,28,Shrubland,Carnivore,Invertivore,Insessorial,9.8,NA,1.992676194,-1.575288762,LC,1055,1.27E+13,-63.60345243,-3.434561621,Neotropical,22,6.726388542,0.160909056,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Ortalis vetula,1.484410033,-0.921448315,-0.148383324,1.556584345,-0.143896591,0.422807074,0.687631523,Cracidae,28.3,12.2,6.9,8.8,61.1,198,22.1,11.4,230.4,562.6,Shrubland,Herbivore,Frugivore,Insessorial,NA,16.6,0.946720216,-1.192279753,LC,88,1.02E+12,-92.89454854,19.34419493,Panamanian,6,3.478904958,0.324535789,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Passerina versicolor,-1.958564084,-0.137731066,0.058780668,-0.91979984,-0.628577736,-1.246931662,-1.207281231,Cardinalidae,11.2,7.6,4.8,6.3,17.5,67.7,12.9,19,54.8,12.9,Shrubland,Omnivore,Omnivore,Generalist,NA,NA,0.396847142,-0.562254065,LC,192,2.15E+12,-103.6637597,24.94021005,Nearctic,3,4.564078801,0.224410147,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Piranga bidentata,-0.495470801,0.86597807,-0.140753506,-0.91979984,-0.628577736,0.287422852,-0.294240105,Cardinalidae,20.7,13.5,7.6,8.9,21.8,97.1,22.5,23.1,84.9,36.1,Forest,Omnivore,Invertivore,Insessorial,16.7,10.8,0.709750571,-1.069368185,LC,96,1.11E+12,-102.376091,21.74858366,Nearctic,4,6.458845613,0.164244064,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Piranga ludoviciana,0.500861939,0.791624188,0.156501429,-0.424523003,-0.380960976,0.648447443,0.54892656,Cardinalidae,18.5,11.2,6.3,7.3,20.1,94.8,27.2,28.6,71.1,28.1,Forest,Carnivore,Invertivore,Insessorial,14.8,NA,1.835125272,0.280503479,LC,1024,9.33E+12,-111.9518049,44.76067233,Nearctic,5,4.93007087,0.211354926,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Piranga olivacea,0.500861939,0.791624188,0.156501429,-0.424523003,-0.380960976,0.648447443,0.54892656,Cardinalidae,18.8,11.5,7.2,8.2,19.4,92.6,29.5,30.9,63.8,28.2,Forest,Carnivore,Invertivore,Insessorial,14,NA,5.454805823,-0.645571628,LC,881,9.32E+12,-86.09289259,40.32321591,Nearctic,8,5.080749047,0.206122231,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Piranga rubra,0.500861939,0.791624188,0.156501429,-0.424523003,-0.380960976,0.648447443,0.54892656,Cardinalidae,19.2,13.3,8.4,9,19.5,92,27.9,29.2,71.3,29.1,Forest,Carnivore,Invertivore,Insessorial,13.7,NA,4.540436747,-1.00616915,LC,1028,1.16E+13,-86.05742747,20.53732307,Panamanian,17,9.505554722,0.111221326,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Pitangus sulphuratus,1.823130663,-0.255906209,0.332424434,1.061307508,0.219891788,0.716139554,1.364027096,Tyrannidae,29.3,21.1,10.1,9.1,25.8,111.9,20.6,18.1,84.8,62.9,Human Modified,Carnivore,Omnivore,Insessorial,13,NA,2.927218273,-1.297309143,LC,1586,1.86E+13,-58.61943603,-13.74168914,Neotropical,42,11.13291682,0.092928216,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Psarocolius montezuma,1.85048377,-0.249630929,0.365627197,1.061307508,0.332847639,0.716139554,1.40750117,Icteridae,67.8,44.6,11.4,19.2,52.2,220,51.6,23.9,167.3,309.9,Forest,Carnivore,Omnivore,Insessorial,45.6,19.3,1.820650744,-1.58536283,LC,77,9.13E+11,-88.94344565,15.38885598,Panamanian,6,1.988959927,0.540999858,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Quiscalus mexicanus,-0.495470801,0.86597807,-0.140753506,-0.91979984,-0.628577736,0.287422852,-0.294240105,Icteridae,43.3,29.2,8.2,11.5,47.9,168.6,46,26.8,170.1,160.5,Human Modified,Omnivore,Omnivore,Terrestrial,35.8,NA,0.873150785,-0.435911667,LC,602,6.48E+12,-100.4672654,29.04136802,Nearctic,6,1.725283293,0.610406758,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Thraupis episcopus,1.266140977,0.37935888,1.015791512,0.070753834,-0.098928699,0.355114963,1.627189536,Thraupidae,14.2,9.5,6.4,6.7,22.3,87.3,20.7,22.8,64,35,Forest,Omnivore,Omnivore,Insessorial,NA,10.2,2.479281815,-1.819665049,NA,799,9.73E+12,-67.61920043,0.875401141,Neotropical,21,3.069707217,0.341194452,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Tityra semifasciata,0.500861939,0.791624188,0.156501429,-0.424523003,-0.380960976,0.648447443,0.54892656,Tityridae,28,18.2,10.4,10.7,25.6,120.5,30.7,24.8,71.7,79.3,Forest,Herbivore,Frugivore,Insessorial,19.2,17.5,1.8761185,-1.662064753,LC,680,8.21E+12,-69.50699796,-0.942596445,Neotropical,11,11.1835004,0.092488726,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Trogon melanocephalus,0.500861939,0.791624188,0.156501429,-0.424523003,-0.380960976,0.648447443,0.54892656,Trogonidae,21,13.8,8.8,11.4,14.2,142.7,51.4,35.6,144,85.1,Forest,Omnivore,Omnivore,Insessorial,NA,17,1.104367541,-1.533277315,LC,72,8.49E+11,-89.21022861,16.65175187,Panamanian,6,6.642803385,0.15420825,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
Turdus grayi,0.73864765,-0.172302745,-0.158987645,0.566030671,0.07137957,0.422807074,0.31844798,Turdidae,21.4,13.6,5.7,6.5,33.6,118.1,26.1,21.4,101.9,79.5,Forest,Omnivore,Omnivore,Generalist,20.7,12.1,1.782783981,-1.476558215,LC,153,1.81E+12,-87.21536003,15.42735318,Panamanian,11,2.794442815,0.378862802,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F,-19.566667,-56.233333
